HypernymID	Hypernym	HyponymID	Hyponym	EvidentalSentIDs
8586	rule_based_systems	224	natural_language_processing	bj-732#1:1,bj-808#1:1,bj-943#1:1,bj-1281#1:1,bj-1323#1:1,bj-1379#1:1,bj-1698#1:1,bj-2027#1:1,bj-2087#1:1,bj-2585#1:1,bj-2954#1:1,bj-2969#1:1,bj-2971#1:1,bk-274#1:1,bk-501#1:1,bk-760#1:1,bk-826#1:1,bk-2252#1:1,bk-2422#1:1,bk-2607#1:1,bk-2675#1:1,bk-2696#1:1,bk-2701#1:1,bk-2784#1:1,bk-2787#1:1,bk-2892#1:1,bk-2934#1:1
34	social_networks	553	facebook	ac-1497#4:1,ai-1506#3:1,aj-29#1:1,ak-224#1:1,ao-2288#2:1,ap-812#12:1,ap-871#1:1,ap-1838#4:1
125	topic_models	604	latent_dirichlet_allocation	ah-1852#2:1,aj-1302#2:1,am-1681#2:1,ao-2040#1:1,bh-1344#3:1,bk-1270#6:1,bk-3029#2:1
73	social_media	107	twitter	ai-1573#1:1,aj-407#10:1,an-85#2:1,ap-754#2:1,bk-1267#3:1,bl-422#1:1
34	social_networks	107	twitter	ac-1497#4:1,ae-902#1:1,ai-1542#6:1,ak-224#1:1,ap-812#12:1
42	software_engineering	907	software_quality	af-379#2:1,af-457#2:1,af-1790#2:1,ag-1024#2:1,ag-1030#2:1
4982	social_networking_sites	553	facebook	ai-978#3:1,an-305#2:1,ap-1642#1:1,ay-2489#3:1,bk-97#2:1
232	routing_protocols	2072	ospf	ab-1318#2:1,ab-1677#2:1,ac-566#18:1,ac-858#3:1
164	graphical_models	24	bayesian	bh-774#2:1,bi-2604#1:1,bj-1730#2:1,bk-1817#1:1
99	interfaces	148	wifi	aa-1316#1:1,ab-48#2:1,ad-1000#1:1
788	scheduling_algorithms	5687	weighted_fair_queueing	ac-176#2:1,ac-483#4:1,ad-1740#2:1
96	data_structures	31	trees	ae-2073#1:1,au-619#3:1,bl-2050#6:1
8557	logic_programming_languages	440	prolog	ag-2024#1:1,ag-2305#1:1,bk-2056#1:1
66	knowledge_base	123	wikipedia	ai-40#1:1,an-852#3:1,an-1964#1:1
22	information_retrieval	322	question_answering	ai-1518#4:1,aj-2315#1:1,am-1036#2:1
73	social_media	553	facebook	aj-407#10:1,an-85#2:1,an-1099#1:1
5768	xml_query_language	309	xquery	al-1422#3:1,am-21#3:1,ap-301#5:1
4498	lexical_resources	594	wordnet	am-1544#6:1,bi-31#2:1,bk-260#2:1
570	online_social_networks	553	facebook	an-354#8:1,ao-2325#1:1,ap-1847#1:1
92	polynomial_time	3379	las_vegas	at-595#5:1,at-1211#6:1,at-2005#0:1
3619	dominating_set	3619	dominating_set	at-1080#4:1,at-1510#6:1,at-1788#5:1
3306	computer_vision_applications	118	image_segmentation	az-841#1:1,ba-2213#7:1,bg-865#8:1
54	computer_vision	146	object_detection	bb-21#1:1,bb-486#1:1,bc-2272#1:1
54	computer_vision	118	image_segmentation	bb-191#14:1,bb-2174#2:1,be-216#2:1
2706	compression_algorithms	671	jpeg	be-1296#2:1,bg-598#2:1,bg-600#2:1
808	kernel_methods	63	support_vector_machines	be-1371#1:1,bi-2274#2:1,bm-1042#2:1
1357	classification_methods	63	support_vector_machines	aa-9#3:1,bm-1824#1:1
117	mobile_devices	235	smart_phones	aa-192#2:1,ao-493#1:1
117	mobile_devices	6315	cell_phones	aa-286#4:1,ay-1557#4:1
43	wireless_networks	53	wireless_sensor_networks	aa-679#2:1,ac-1522#6:1
1328	network_resources	28	bandwidth	ab-1429#2:1,au-2535#15:1
2655	network_protocols	14	routing	ab-1685#1:1,ad-1401#1:1
21	internet	47	topology	ab-1729#8:1,ac-1098#7:1
405	network_topology	2320	delaunay_triangulation	ac-302#8:1,ad-1189#10:1
4419	mathematical_tools	14	routing	ac-1490#2:1,ad-637#2:1
4419	mathematical_tools	221	algebra	ac-1490#2:1,ad-637#2:1
1628	local_area_network	916	ethernet	ac-1634#3:1,ad-1390#3:1
1628	local_area_network	6116	token_ring	ac-1634#3:1,ad-1390#3:1
1628	local_area_network	3218	fddi	ac-1634#3:1,ad-1390#3:1
3089	bursty_traffic	3104	compressed_video	ac-1966#2:1,ad-1355#2:1
591	bluetooth	657	http	ad-19#3:1,ad-1771#3:1
30	sensor_networks	34	social_networks	ae-171#2:1,ae-902#2:1
1085	unix	113	operating_system	ae-1948#1:1,ah-1042#5:1
8774	object_oriented_languages	108	java	ae-1949#1:1,ah-51#2:1
373	web_sites	553	facebook	ae-2324#12:1,ap-94#1:1
96	data_structures	6862	linked_lists	af-228#4:1,au-61#9:1
415	software_systems	245	distributed_systems	ag-182#1:1,ag-410#1:1
1952	weak_classifiers	98	decision_trees	ah-1224#3:1,ba-1213#2:1
1202	online_advertising	944	sponsored_search	ah-2166#2:1,ai-1733#2:1
